RET_RR,RET_CG,RET_DCG,RET_NDCG,A_BL_BL,A_BL_PR,A_BL_BREV,A_BL_LR,A_BL_LEN,A_BL_REF_LEN,A_RG1,A_RG2,A_RGL,A_RGL_SUM,A_BERT_RAG_PR,A_BERT_RAG_RC,A_BERT_RAG_F1,A_BERT_PR,A_BERT_RC,A_BERT_F1,A_AR_PR,A_AR_RC,A_AR_F1,RET_RC_1,RET_RC_2,RET_RC_3,RET_RC_4,RET_RC_5,RET_RC_6,RET_RC_7,RET_RC_8,RET_RC_9,RET_RC_10,RET_PR_1,RET_PR_2,RET_PR_3,RET_PR_4,RET_PR_5,RET_PR_6,RET_PR_7,RET_PR_8,RET_PR_9,RET_PR_10,RET_F1_1,RET_F1_2,RET_F1_3,RET_F1_4,RET_F1_5,RET_F1_6,RET_F1_7,RET_F1_8,RET_F1_9,RET_F1_10,RET_AP_1,RET_AP_2,RET_AP_3,RET_AP_4,RET_AP_5,RET_AP_6,RET_AP_7,RET_AP_8,RET_AP_9,RET_AP_10
1.0,1,1.0,1.0,0.0,0.0022449724242150264,1.0,92.83333333333333,557,6,0.021691973969631233,0.013071895424836602,0.021691973969631233,0.021691973969631233,0.7182450294494629,0.849524199962616,0.7783882021903992,0.7737592458724976,0.8255465030670166,0.7988143563270569,0.9563575983047485,0.9380190372467041,0.9470983743667603,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.3333333333333333,0.25,0.2,0.16666666666666666,0.14285714285714285,0.125,0.1111111111111111,0.1,1.0,0.6666666666666666,0.5,0.4,0.33333333333333337,0.2857142857142857,0.25,0.2222222222222222,0.19999999999999998,0.18181818181818182,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
0.3333333333333333,1,0.5,0.0,0.0,0.018074691634171962,1.0,10.777777777777779,194,18,0.11518324607329844,0.05291005291005291,0.11518324607329844,0.11518324607329844,0.8154772520065308,0.8900777697563171,0.8511460423469543,0.8075425624847412,0.8633193373680115,0.8344999551773071,0.8932896554470062,0.9136320054531097,0.9033463299274445,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.3333333333333333,0.25,0.2,0.16666666666666666,0.14285714285714285,0.125,0.1111111111111111,0.1,0.0,0.0,0.5,0.4,0.33333333333333337,0.2857142857142857,0.25,0.2222222222222222,0.19999999999999998,0.18181818181818182,0.0,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333
1.0,1,1.0,1.0,0.0,0.006956585081585081,1.0,36.0,144,4,0.050420168067226885,0.03418803418803419,0.050420168067226885,0.050420168067226885,0.7802149057388306,0.8936021327972412,0.8330680131912231,0.8016458749771118,0.8715293407440186,0.8351282477378845,0.9657847285270691,0.9277271032333374,0.9463734924793243,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.3333333333333333,0.25,0.2,0.16666666666666666,0.14285714285714285,0.125,0.1111111111111111,0.1,1.0,0.6666666666666666,0.5,0.4,0.33333333333333337,0.2857142857142857,0.25,0.2222222222222222,0.19999999999999998,0.18181818181818182,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1.0,1,1.0,1.0,0.0,0.0046816479400749065,1.0,19.071428571428573,267,14,0.015503875968992248,0.0,0.015503875968992248,0.015503875968992248,0.7733519077301025,0.8153672218322754,0.7938040494918823,0.7719526886940002,0.8199425935745239,0.7952241897583008,0.899875819683075,0.9374862313270569,0.9182960987091064,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.3333333333333333,0.25,0.2,0.16666666666666666,0.14285714285714285,0.125,0.1111111111111111,0.1,1.0,0.6666666666666666,0.5,0.4,0.33333333333333337,0.2857142857142857,0.25,0.2222222222222222,0.19999999999999998,0.18181818181818182,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1.0,1,1.0,1.0,0.023196017489322138,0.03064624867920523,1.0,14.733333333333333,221,15,0.11926605504587155,0.07407407407407408,0.11926605504587155,0.11926605504587155,0.8152360916137695,0.903698742389679,0.8571911454200745,0.8426436185836792,0.8874594569206238,0.8644710779190063,0.9178180992603302,0.9079143404960632,0.9128088057041168,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.3333333333333333,0.25,0.2,0.16666666666666666,0.14285714285714285,0.125,0.1111111111111111,0.1,1.0,0.6666666666666666,0.5,0.4,0.33333333333333337,0.2857142857142857,0.25,0.2222222222222222,0.19999999999999998,0.18181818181818182,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
0.5,1,0.6309297535714575,0.0,0.0,0.006944444444444444,1.0,14.4,72,5,0.061538461538461535,0.0,0.061538461538461535,0.061538461538461535,0.7865546941757202,0.811165452003479,0.7986705303192139,0.7793756723403931,0.8127248287200928,0.7957009673118591,0.8900621831417084,0.9335923194885254,0.9112293124198914,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.5,0.3333333333333333,0.25,0.2,0.16666666666666666,0.14285714285714285,0.125,0.1111111111111111,0.1,0.0,0.6666666666666666,0.5,0.4,0.33333333333333337,0.2857142857142857,0.25,0.2222222222222222,0.19999999999999998,0.18181818181818182,0.0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
1.0,1,1.0,1.0,0.0,0.0018796992481203006,1.0,88.66666666666667,266,3,0.016877637130801686,0.00851063829787234,0.016877637130801686,0.016877637130801686,0.7654273509979248,0.8858790993690491,0.8212601542472839,0.7757037878036499,0.8833643794059753,0.8260409832000732,0.8697147369384766,0.8919402062892914,0.8804881572723389,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.3333333333333333,0.25,0.2,0.16666666666666666,0.14285714285714285,0.125,0.1111111111111111,0.1,1.0,0.6666666666666666,0.5,0.4,0.33333333333333337,0.2857142857142857,0.25,0.2222222222222222,0.19999999999999998,0.18181818181818182,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
0.5,1,0.6309297535714575,0.0,0.02840047761340043,0.03894346770280651,1.0,6.444444444444445,174,27,0.15028901734104047,0.08187134502923976,0.1271676300578035,0.13872832369942195,0.8147052526473999,0.8881129026412964,0.8498268127441406,0.8427844643592834,0.8932433724403381,0.8672806024551392,0.9791185557842255,0.9695741534233093,0.9742465615272522,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.5,0.3333333333333333,0.25,0.2,0.16666666666666666,0.14285714285714285,0.125,0.1111111111111111,0.1,0.0,0.6666666666666666,0.5,0.4,0.33333333333333337,0.2857142857142857,0.25,0.2222222222222222,0.19999999999999998,0.18181818181818182,0.0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
1.0,1,1.0,1.0,0.0796191304481271,0.08823765785240559,1.0,5.694444444444445,205,36,0.2818181818181818,0.18348623853211007,0.22727272727272727,0.23636363636363636,0.8359569311141968,0.9100106358528137,0.8714132308959961,0.8744574189186096,0.9362369775772095,0.9042932391166687,0.8939683437347412,0.9144879281520844,0.9041087627410889,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.3333333333333333,0.25,0.2,0.16666666666666666,0.14285714285714285,0.125,0.1111111111111111,0.1,1.0,0.6666666666666666,0.5,0.4,0.33333333333333337,0.2857142857142857,0.25,0.2222222222222222,0.19999999999999998,0.18181818181818182,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
0.5,1,0.6309297535714575,0.0,0.0,0.001736111111111111,1.0,72.0,144,2,0.0,0.0,0.0,0.0,0.7619702219963074,0.921916127204895,0.8343468904495239,0.7743639945983887,0.9131124019622803,0.8380340933799744,0.9117747843265533,0.9528651237487793,0.9313435852527618,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.5,0.3333333333333333,0.25,0.2,0.16666666666666666,0.14285714285714285,0.125,0.1111111111111111,0.1,0.0,0.6666666666666666,0.5,0.4,0.33333333333333337,0.2857142857142857,0.25,0.2222222222222222,0.19999999999999998,0.18181818181818182,0.0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
