RET_RR,RET_CG,RET_DCG,RET_NDCG,A_BL_BL,A_BL_PR,A_BL_BREV,A_BL_LR,A_BL_LEN,A_BL_REF_LEN,A_RG1,A_RG2,A_RGL,A_RGL_SUM,A_BERT_RAG_PR,A_BERT_RAG_RC,A_BERT_RAG_F1,A_BERT_PR,A_BERT_RC,A_BERT_F1,A_AR_PR,A_AR_RC,A_AR_F1,RET_RC_1,RET_RC_2,RET_RC_3,RET_RC_4,RET_RC_5,RET_RC_6,RET_RC_7,RET_RC_8,RET_RC_9,RET_RC_10,RET_PR_1,RET_PR_2,RET_PR_3,RET_PR_4,RET_PR_5,RET_PR_6,RET_PR_7,RET_PR_8,RET_PR_9,RET_PR_10,RET_F1_1,RET_F1_2,RET_F1_3,RET_F1_4,RET_F1_5,RET_F1_6,RET_F1_7,RET_F1_8,RET_F1_9,RET_F1_10,RET_AP_1,RET_AP_2,RET_AP_3,RET_AP_4,RET_AP_5,RET_AP_6,RET_AP_7,RET_AP_8,RET_AP_9,RET_AP_10
0.25,1,0.43067655807339306,0.0,0.012745824283677792,0.028017450821120914,1.0,8.543478260869565,393,46,0.08791208791208792,0.016574585635359115,0.06043956043956045,0.08241758241758242,0.7814301252365112,0.8733675479888916,0.8248448967933655,0.8606390953063965,0.8805999159812927,0.8705050945281982,0.8735949993133545,0.8527557849884033,0.8630495667457581,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.25,0.2,0.16666666666666666,0.14285714285714285,0.125,0.1111111111111111,0.1,0.0,0.0,0.0,0.4,0.33333333333333337,0.2857142857142857,0.25,0.2222222222222222,0.19999999999999998,0.18181818181818182,0.0,0.0,0.0,0.25,0.25,0.25,0.25,0.25,0.25,0.25
0.5,1,0.6309297535714575,0.0,0.04656384782098322,0.054771767939471604,1.0,5.75,115,20,0.1904761904761905,0.08064516129032258,0.12698412698412698,0.12698412698412698,0.8313930630683899,0.8830399513244629,0.8564385771751404,0.809425413608551,0.8870052099227905,0.8464413285255432,0.9345876574516296,0.8638666272163391,0.8978366851806641,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.5,0.3333333333333333,0.25,0.2,0.16666666666666666,0.14285714285714285,0.125,0.1111111111111111,0.1,0.0,0.6666666666666666,0.5,0.4,0.33333333333333337,0.2857142857142857,0.25,0.2222222222222222,0.19999999999999998,0.18181818181818182,0.0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
0.0,0,0.0,0.0,0.0,0.009895030816640987,1.0,17.7,177,10,0.07058823529411765,0.011904761904761904,0.058823529411764705,0.058823529411764705,0.7992238402366638,0.8721116185188293,0.8340784311294556,0.7988206744194031,0.8527500629425049,0.8249048590660095,0.8686378598213196,0.8628267049789429,0.8657224774360657,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,1,1.0,1.0,0.1729196358047998,0.17505922646765928,1.0,4.096774193548387,127,31,0.3453237410071942,0.2773722627737226,0.31654676258992803,0.2733812949640288,0.8724626898765564,0.9278512001037598,0.8993048667907715,0.8432562351226807,0.9133557081222534,0.8769072890281677,0.9250636100769043,0.9347854852676392,0.9298990964889526,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.3333333333333333,0.25,0.2,0.16666666666666666,0.14285714285714285,0.125,0.1111111111111111,0.1,1.0,0.6666666666666666,0.5,0.4,0.33333333333333337,0.2857142857142857,0.25,0.2222222222222222,0.19999999999999998,0.18181818181818182,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
0.0,0,0.0,0.0,0.0,0.0004578754578754579,1.0,273.0,546,2,0.0,0.0,0.0,0.0,0.7401204109191895,0.9066191911697388,0.8149526715278625,0.7561039924621582,0.9124303460121155,0.8269440531730652,0.9079552888870239,0.8773073554039001,0.8923683166503906,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.1,1,0.2890648263178879,0.0,0.0,0.011824324324324325,1.0,7.7894736842105265,148,19,0.08053691275167785,0.01360544217687075,0.06711409395973154,0.06711409395973154,0.8145000338554382,0.869808554649353,0.8412461876869202,0.8275657892227173,0.8770506381988525,0.8515899181365967,0.9224772453308105,0.884989857673645,0.9033448100090027,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18181818181818182,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1
0.5,1,0.6309297535714575,0.0,0.0,0.013888888888888888,1.0,3.6,36,10,0.05405405405405406,0.0,0.05405405405405406,0.05405405405405406,0.8248224258422852,0.8696804046630859,0.8466576337814331,0.8011965751647949,0.9068678021430969,0.8507634997367859,0.9255887269973755,0.9062535762786865,0.9158191084861755,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.5,0.3333333333333333,0.25,0.2,0.16666666666666666,0.14285714285714285,0.125,0.1111111111111111,0.1,0.0,0.6666666666666666,0.5,0.4,0.33333333333333337,0.2857142857142857,0.25,0.2222222222222222,0.19999999999999998,0.18181818181818182,0.0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
0.0,0,0.0,0.0,0.0,0.028218302748523594,1.0,6.357142857142857,89,14,0.13483146067415727,0.06896551724137932,0.13483146067415727,0.13483146067415727,0.7782707810401917,0.8973442316055298,0.8335766196250916,0.8122268915176392,0.8786160945892334,0.8441181182861328,0.9296528100967407,0.9062029719352722,0.9177781343460083,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,1,1.0,1.0,0.09205881802923323,0.13270206112662153,1.0,1.4666666666666666,44,30,0.393939393939394,0.1875,0.24242424242424243,0.24242424242424243,0.8452136516571045,0.8722928166389465,0.8585398197174072,0.8239132761955261,0.8621994853019714,0.8426216840744019,0.8822191953659058,0.8925344944000244,0.8873468637466431,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.3333333333333333,0.25,0.2,0.16666666666666666,0.14285714285714285,0.125,0.1111111111111111,0.1,1.0,0.6666666666666666,0.5,0.4,0.33333333333333337,0.2857142857142857,0.25,0.2222222222222222,0.19999999999999998,0.18181818181818182,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1.0,1,1.0,1.0,0.0,0.010479041916167664,1.0,12.846153846153847,167,13,0.07407407407407407,0.0,0.037037037037037035,0.037037037037037035,0.8082453012466431,0.8652638792991638,0.8357833027839661,0.7934296727180481,0.8578327894210815,0.8243752121925354,0.8637197017669678,0.8821005821228027,0.8728134036064148,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.3333333333333333,0.25,0.2,0.16666666666666666,0.14285714285714285,0.125,0.1111111111111111,0.1,1.0,0.6666666666666666,0.5,0.4,0.33333333333333337,0.2857142857142857,0.25,0.2222222222222222,0.19999999999999998,0.18181818181818182,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
