RET_RR,RET_CG,RET_DCG,RET_NDCG,A_BL_BL,A_BL_PR,A_BL_BREV,A_BL_LR,A_BL_LEN,A_BL_REF_LEN,A_RG1,A_RG2,A_RGL,A_RGL_SUM,A_BERT_RAG_PR,A_BERT_RAG_RC,A_BERT_RAG_F1,A_BERT_PR,A_BERT_RC,A_BERT_F1,A_AR_PR,A_AR_RC,A_AR_F1,RET_RC_1,RET_RC_2,RET_RC_3,RET_RC_4,RET_RC_5,RET_RC_6,RET_RC_7,RET_RC_8,RET_RC_9,RET_RC_10,RET_PR_1,RET_PR_2,RET_PR_3,RET_PR_4,RET_PR_5,RET_PR_6,RET_PR_7,RET_PR_8,RET_PR_9,RET_PR_10,RET_F1_1,RET_F1_2,RET_F1_3,RET_F1_4,RET_F1_5,RET_F1_6,RET_F1_7,RET_F1_8,RET_F1_9,RET_F1_10,RET_AP_1,RET_AP_2,RET_AP_3,RET_AP_4,RET_AP_5,RET_AP_6,RET_AP_7,RET_AP_8,RET_AP_9,RET_AP_10
1.0,1,1.0,1.0,0.0,0.013649871480034017,1.0,8.980392156862745,458,51,0.09900990099009901,0.009950248756218907,0.06930693069306931,0.07425742574257425,0.7456614375114441,0.8334590196609497,0.7871195673942566,0.8483008146286011,0.8667943477630615,0.8574478626251221,0.844896674156189,0.8305857181549072,0.8376800417900085,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.3333333333333333,0.25,0.2,0.16666666666666666,0.14285714285714285,0.125,0.1111111111111111,0.1,1.0,0.6666666666666666,0.5,0.4,0.33333333333333337,0.2857142857142857,0.25,0.2222222222222222,0.19999999999999998,0.18181818181818182,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1.0,1,1.0,1.0,0.07163445821280069,0.09317994799381193,1.0,2.05,41,20,0.2962962962962963,0.1923076923076923,0.2222222222222222,0.2222222222222222,0.804483950138092,0.895107090473175,0.8473794460296631,0.8322383165359497,0.8938699960708618,0.861953854560852,0.9532798528671265,0.8213804960250854,0.8824285268783569,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.3333333333333333,0.25,0.2,0.16666666666666666,0.14285714285714285,0.125,0.1111111111111111,0.1,1.0,0.6666666666666666,0.5,0.4,0.33333333333333337,0.2857142857142857,0.25,0.2222222222222222,0.19999999999999998,0.18181818181818182,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
0.0,0,0.0,0.0,0.0,0.012364849321371059,1.0,9.529411764705882,162,17,0.07407407407407407,0.024999999999999998,0.04938271604938271,0.04938271604938271,0.7956069707870483,0.8552467226982117,0.824349582195282,0.790123701095581,0.8461137413978577,0.8171607851982117,0.881172239780426,0.8571449518203735,0.8689925074577332,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,1,1.0,1.0,0.054837346953898795,0.0775699077563828,1.0,4.115384615384615,107,26,0.30769230769230765,0.12173913043478261,0.23931623931623933,0.23931623931623933,0.8347433805465698,0.894951581954956,0.8637996315956116,0.8483086824417114,0.8935664892196655,0.870349645614624,0.9234622716903687,0.9480169415473938,0.9355785250663757,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.3333333333333333,0.25,0.2,0.16666666666666666,0.14285714285714285,0.125,0.1111111111111111,0.1,1.0,0.6666666666666666,0.5,0.4,0.33333333333333337,0.2857142857142857,0.25,0.2222222222222222,0.19999999999999998,0.18181818181818182,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1.0,1,1.0,1.0,0.0,0.0016556291390728477,1.0,75.5,151,2,0.0,0.0,0.0,0.0,0.7834910750389099,0.9201383590698242,0.8463345170021057,0.7906259298324585,0.9387412071228027,0.8583407998085022,0.8322931528091431,0.8709778785705566,0.8511962294578552,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.3333333333333333,0.25,0.2,0.16666666666666666,0.14285714285714285,0.125,0.1111111111111111,0.1,1.0,0.6666666666666666,0.5,0.4,0.33333333333333337,0.2857142857142857,0.25,0.2222222222222222,0.19999999999999998,0.18181818181818182,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1.0,1,1.0,1.0,0.0,0.013904761904761904,1.0,9.0,126,14,0.09448818897637794,0.016,0.06299212598425197,0.06299212598425197,0.8123539686203003,0.8758276700973511,0.8428975939750671,0.8064523935317993,0.8768603801727295,0.8401839137077332,0.9031622111797333,0.9164916574954987,0.9097765982151031,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.3333333333333333,0.25,0.2,0.16666666666666666,0.14285714285714285,0.125,0.1111111111111111,0.1,1.0,0.6666666666666666,0.5,0.4,0.33333333333333337,0.2857142857142857,0.25,0.2222222222222222,0.19999999999999998,0.18181818181818182,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1.0,1,1.0,1.0,0.027093839591327683,0.03166709676299128,1.0,14.3,143,10,0.0930232558139535,0.07874015748031496,0.0930232558139535,0.0930232558139535,0.7732409238815308,0.8880082368850708,0.8266602158546448,0.7911685705184937,0.8545297980308533,0.8216294646263123,0.9001750946044922,0.835739016532898,0.8667611479759216,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.3333333333333333,0.25,0.2,0.16666666666666666,0.14285714285714285,0.125,0.1111111111111111,0.1,1.0,0.6666666666666666,0.5,0.4,0.33333333333333337,0.2857142857142857,0.25,0.2222222222222222,0.19999999999999998,0.18181818181818182,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
0.5,1,0.6309297535714575,0.0,0.054019912340261725,0.06804340829570187,1.0,4.111111111111111,111,27,0.24193548387096778,0.09836065573770492,0.16129032258064518,0.16129032258064518,0.8371620178222656,0.8870498538017273,0.8613841533660889,0.8366057276725769,0.8798359632492065,0.8576765060424805,0.9450283050537109,0.9206639528274536,0.932686984539032,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.5,0.3333333333333333,0.25,0.2,0.16666666666666666,0.14285714285714285,0.125,0.1111111111111111,0.1,0.0,0.6666666666666666,0.5,0.4,0.33333333333333337,0.2857142857142857,0.25,0.2222222222222222,0.19999999999999998,0.18181818181818182,0.0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
0.5,1,0.6309297535714575,0.0,0.07491418645799432,0.08851068811711035,1.0,4.129032258064516,128,31,0.28378378378378377,0.1506849315068493,0.2027027027027027,0.2027027027027027,0.8508291244506836,0.8742942810058594,0.862402081489563,0.8652793169021606,0.8903471231460571,0.8776342868804932,0.9079328179359436,0.9111839830875397,0.9094889163970947,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.5,0.3333333333333333,0.25,0.2,0.16666666666666666,0.14285714285714285,0.125,0.1111111111111111,0.1,0.0,0.6666666666666666,0.5,0.4,0.33333333333333337,0.2857142857142857,0.25,0.2222222222222222,0.19999999999999998,0.18181818181818182,0.0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
1.0,1,1.0,1.0,0.0,0.0045871559633027525,1.0,54.5,109,2,0.0196078431372549,0.0,0.0196078431372549,0.0196078431372549,0.7807984352111816,0.9157354831695557,0.8429007530212402,0.7913769483566284,0.912718653678894,0.8477277159690857,0.9483531713485718,0.9359180927276611,0.9420945644378662,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.3333333333333333,0.25,0.2,0.16666666666666666,0.14285714285714285,0.125,0.1111111111111111,0.1,1.0,0.6666666666666666,0.5,0.4,0.33333333333333337,0.2857142857142857,0.25,0.2222222222222222,0.19999999999999998,0.18181818181818182,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
