RET_RR,RET_CG,RET_DCG,RET_NDCG,A_BL_BL,A_BL_PR,A_BL_BREV,A_BL_LR,A_BL_LEN,A_BL_REF_LEN,A_RG1,A_RG2,A_RGL,A_RGL_SUM,A_BERT_RAG_PR,A_BERT_RAG_RC,A_BERT_RAG_F1,A_BERT_PR,A_BERT_RC,A_BERT_F1,A_AR_PR,A_AR_RC,A_AR_F1,RET_RC_1,RET_RC_2,RET_RC_3,RET_RC_4,RET_RC_5,RET_PR_1,RET_PR_2,RET_PR_3,RET_PR_4,RET_PR_5,RET_F1_1,RET_F1_2,RET_F1_3,RET_F1_4,RET_F1_5,RET_AP_1,RET_AP_2,RET_AP_3,RET_AP_4,RET_AP_5
0.25,1,0.43067655807339306,0.0,0.0274111901436217,0.033804390537404125,1.0,7.413043478260869,341,46,0.09146341463414634,0.03067484662576687,0.08536585365853658,0.08536585365853658,0.7997571229934692,0.8539217114448547,0.8259523510932922,0.8430505990982056,0.8139936923980713,0.8282673954963684,0.9334929287433624,0.9226295948028564,0.9279869794845581,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.25,0.2,0.0,0.0,0.0,0.4,0.33333333333333337,0.0,0.0,0.0,0.25,0.25
0.5,1,0.6309297535714575,0.0,0.03892575148406621,0.0476487747129949,1.0,5.55,111,20,0.1652892561983471,0.08403361344537814,0.11570247933884296,0.11570247933884296,0.8243500590324402,0.8764709234237671,0.8496119379997253,0.8522611260414124,0.8923496007919312,0.8718447089195251,0.9642049372196198,0.9186723828315735,0.9408880770206451,0.0,1.0,1.0,1.0,1.0,0.0,0.5,0.3333333333333333,0.25,0.2,0.0,0.6666666666666666,0.5,0.4,0.33333333333333337,0.0,0.5,0.5,0.5,0.5
0.0,0,0.0,0.0,0.0,0.0013020833333333333,1.0,19.2,192,10,0.022857142857142857,0.0,0.022857142857142857,0.022857142857142857,0.7818524837493896,0.8397723436355591,0.8097780346870422,0.7944473028182983,0.8530693054199219,0.8227153420448303,0.9033424556255341,0.8937864005565643,0.8985306918621063,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,1,1.0,1.0,0.0594488533627702,0.06624060755944082,1.0,7.580645161290323,235,31,0.1764705882352941,0.11016949152542373,0.16806722689075632,0.15966386554621848,0.8368790149688721,0.8989834785461426,0.8668203353881836,0.8275214433670044,0.8984376788139343,0.8615226745605469,0.90228471159935,0.9152781963348389,0.9087330102920532,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.3333333333333333,0.25,0.2,1.0,0.6666666666666666,0.5,0.4,0.33333333333333337,1.0,1.0,1.0,1.0,1.0
0.0,0,0.0,0.0,0.0,0.0016556291390728477,1.0,75.5,151,2,0.0,0.0,0.0,0.0,0.790503978729248,0.908557653427124,0.845429539680481,0.7910918593406677,0.9212506413459778,0.851224422454834,0.8952996134757996,0.8713066875934601,0.8830437064170837,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0,0.0,0.0,0.0,0.00889720183198444,1.0,13.31578947368421,253,19,0.0625,0.01574803149606299,0.05468749999999999,0.0625,0.8107312917709351,0.8686027526855469,0.8386698365211487,0.8140262365341187,0.8699938654899597,0.8410800695419312,0.8991662859916687,0.8754580616950989,0.8871500492095947,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,1,1.0,1.0,0.033465598001589394,0.04720688238268974,1.0,9.6,96,10,0.16091954022988506,0.11764705882352942,0.16091954022988506,0.16091954022988506,0.8096048831939697,0.8936066627502441,0.849534273147583,0.8031682968139648,0.9009379148483276,0.849248468875885,0.9465093612670898,0.8761016130447388,0.909945547580719,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.3333333333333333,0.25,0.2,1.0,0.6666666666666666,0.5,0.4,0.33333333333333337,1.0,1.0,1.0,1.0,1.0
0.0,0,0.0,0.0,0.0,0.017747781527309086,1.0,9.071428571428571,127,14,0.1076923076923077,0.03125,0.07692307692307691,0.07692307692307691,0.8170422315597534,0.8957074880599976,0.8545683026313782,0.8058044910430908,0.8807728886604309,0.841622531414032,0.9017758965492249,0.9058008193969727,0.9036533236503601,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,1,1.0,1.0,0.04041698200549392,0.04671364342124919,1.0,7.166666666666667,215,30,0.14977973568281938,0.09777777777777778,0.13215859030837004,0.13215859030837004,0.8131835460662842,0.8649289608001709,0.8382584452629089,0.8431341052055359,0.8716716766357422,0.8571653962135315,0.9164571762084961,0.873899519443512,0.8945066630840302,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.3333333333333333,0.25,0.2,1.0,0.6666666666666666,0.5,0.4,0.33333333333333337,1.0,1.0,1.0,1.0,1.0
1.0,1,1.0,1.0,0.0,0.006147540983606557,1.0,18.76923076923077,244,13,0.043668122270742356,0.0,0.026200873362445417,0.03493449781659389,0.7972129583358765,0.8660434484481812,0.8302040100097656,0.8176378607749939,0.8795198202133179,0.8474507331848145,0.8460150957107544,0.853377491235733,0.8496615886688232,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.3333333333333333,0.25,0.2,1.0,0.6666666666666666,0.5,0.4,0.33333333333333337,1.0,1.0,1.0,1.0,1.0
