RET_RR,RET_CG,RET_DCG,RET_NDCG,A_BL_BL,A_BL_PR,A_BL_BREV,A_BL_LR,A_BL_LEN,A_BL_REF_LEN,A_RG1,A_RG2,A_RGL,A_RGL_SUM,A_BERT_RAG_PR,A_BERT_RAG_RC,A_BERT_RAG_F1,A_BERT_PR,A_BERT_RC,A_BERT_F1,A_AR_PR,A_AR_RC,A_AR_F1,RET_RC_1,RET_RC_2,RET_RC_3,RET_RC_4,RET_RC_5,RET_PR_1,RET_PR_2,RET_PR_3,RET_PR_4,RET_PR_5,RET_F1_1,RET_F1_2,RET_F1_3,RET_F1_4,RET_F1_5,RET_AP_1,RET_AP_2,RET_AP_3,RET_AP_4,RET_AP_5
0.25,1,0.43067655807339306,0.0,0.0,0.07769677911187345,1.0,1.1956521739130435,55,46,0.17721518987341772,0.025974025974025976,0.17721518987341772,0.17721518987341772,0.8486038446426392,0.8535525798797607,0.8510710000991821,0.8312045335769653,0.8417032361030579,0.8364208936691284,0.936730146408081,0.936084508895874,0.936407208442688,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.25,0.2,0.0,0.0,0.0,0.4,0.33333333333333337,0.0,0.0,0.0,0.25,0.25
0.5,1,0.6309297535714575,0.0,0.025625638806721557,0.031093468713714385,1.0,11.7,234,20,0.1176470588235294,0.07627118644067796,0.10084033613445378,0.10084033613445378,0.8110269904136658,0.8811261653900146,0.8446245789527893,0.8426958322525024,0.8892636895179749,0.8653537034988403,0.949521005153656,0.8684398829936981,0.906730443239212,0.0,1.0,1.0,1.0,1.0,0.0,0.5,0.3333333333333333,0.25,0.2,0.0,0.6666666666666666,0.5,0.4,0.33333333333333337,0.0,0.5,0.5,0.5,0.5
0.0,0,0.0,0.0,0.0,0.007827848782229427,1.0,25.6,256,10,0.04938271604938271,0.016597510373443983,0.0411522633744856,0.04938271604938271,0.7972971796989441,0.8468229174613953,0.8213140964508057,0.818522572517395,0.8459116816520691,0.8319918513298035,0.8609574437141418,0.8749474287033081,0.8678960204124451,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,1,1.0,1.0,0.10835685713880494,0.1175006323951674,1.0,4.838709677419355,150,31,0.2929936305732484,0.2064516129032258,0.2165605095541401,0.2165605095541401,0.8632319569587708,0.9263327121734619,0.8936699032783508,0.8721757531166077,0.924907922744751,0.8977682590484619,0.8977905511856079,0.8654544949531555,0.8813259601593018,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.3333333333333333,0.25,0.2,1.0,0.6666666666666666,0.5,0.4,0.33333333333333337,1.0,1.0,1.0,1.0,1.0
0.0,0,0.0,0.0,0.0,0.0017006802721088435,1.0,73.5,147,2,0.0,0.0,0.0,0.0,0.7726323008537292,0.9173680543899536,0.8388024568557739,0.7918850779533386,0.9138244390487671,0.84849613904953,0.8941676020622253,0.875320315361023,0.8846436142921448,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0,0.0,0.0,0.0,0.018229166666666668,1.0,5.052631578947368,96,19,0.11214953271028037,0.019047619047619046,0.11214953271028037,0.11214953271028037,0.8222976922988892,0.8756755590438843,0.8481476306915283,0.7899413704872131,0.8662068843841553,0.8263182044029236,0.915708601474762,0.8894063234329224,0.9023658037185669,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,1,1.0,1.0,0.0,0.026163571684116024,1.0,11.5,115,10,0.11111111111111112,0.03773584905660377,0.09259259259259259,0.09259259259259259,0.8074551224708557,0.8823696374893188,0.8432517647743225,0.8046450614929199,0.8517078757286072,0.8275077939033508,0.8808171153068542,0.8474552035331726,0.8638141751289368,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.3333333333333333,0.25,0.2,1.0,0.6666666666666666,0.5,0.4,0.33333333333333337,1.0,1.0,1.0,1.0,1.0
0.0,0,0.0,0.0,0.0,0.02345307369994374,1.0,7.642857142857143,107,14,0.14,0.04081632653061224,0.11999999999999998,0.11999999999999998,0.7950897216796875,0.8945638537406921,0.8418986201286316,0.8172383308410645,0.8994982838630676,0.8563975691795349,0.9385960102081299,0.9444279670715332,0.9415029883384705,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,1,1.0,1.0,0.11594598309130544,0.1187466000627361,1.0,4.533333333333333,136,30,0.3013698630136986,0.2222222222222222,0.2876712328767123,0.2876712328767123,0.8258464336395264,0.9041821956634521,0.8632408380508423,0.8585411310195923,0.8672498464584351,0.8628734946250916,0.9393160343170166,0.8752572536468506,0.9061559438705444,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.3333333333333333,0.25,0.2,1.0,0.6666666666666666,0.5,0.4,0.33333333333333337,1.0,1.0,1.0,1.0,1.0
1.0,1,1.0,1.0,0.0,0.008494139508290453,1.0,20.384615384615383,265,13,0.05982905982905982,0.008620689655172414,0.05128205128205129,0.05128205128205129,0.7802350521087646,0.8628135919570923,0.8194491267204285,0.7947369813919067,0.850921094417572,0.821869969367981,0.9207519888877869,0.8709039688110352,0.8951345086097717,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.3333333333333333,0.25,0.2,1.0,0.6666666666666666,0.5,0.4,0.33333333333333337,1.0,1.0,1.0,1.0,1.0
1.0,1,1.0,1.0,0.0,0.007936507936507936,1.0,31.5,63,2,0.03389830508474576,0.0,0.03389830508474576,0.03389830508474576,0.7823628783226013,0.9432858824729919,0.8553210496902466,0.7909195423126221,0.9118410348892212,0.8470866680145264,0.9235020577907562,0.9059260487556458,0.9146296083927155,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.3333333333333333,0.25,0.2,1.0,0.6666666666666666,0.5,0.4,0.33333333333333337,1.0,1.0,1.0,1.0,1.0
0.07142857142857142,0,0.0,0.0,0.05139544774774064,0.06063799596473287,1.0,7.428571428571429,104,14,0.21621621621621623,0.12844036697247704,0.16216216216216217,0.16216216216216217,0.8416308164596558,0.8931128978729248,0.8666079044342041,0.8321443200111389,0.8824596405029297,0.8565637469291687,0.942412257194519,0.877936065196991,0.9090323448181152,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.5,1,0.6309297535714575,0.0,0.0,0.03510204081632653,1.0,3.3333333333333335,50,15,0.15094339622641512,0.039215686274509796,0.15094339622641512,0.15094339622641512,0.7771492004394531,0.8700289726257324,0.8209704756736755,0.7833232879638672,0.8440085649490356,0.8125343918800354,0.9588980078697205,0.9529914259910583,0.9559355974197388,0.0,1.0,1.0,1.0,1.0,0.0,0.5,0.3333333333333333,0.25,0.2,0.0,0.6666666666666666,0.5,0.4,0.33333333333333337,0.0,0.5,0.5,0.5,0.5
0.0,0,0.0,0.0,0.0,0.00847457627118644,1.0,29.5,59,2,0.037037037037037035,0.0,0.037037037037037035,0.037037037037037035,0.7958695888519287,0.9411636590957642,0.8624400496482849,0.8015068769454956,0.9113264083862305,0.8528960347175598,0.8992581367492676,0.8931670784950256,0.8961068689823151,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,1,1.0,1.0,0.07667958986319486,0.08628897636045309,1.0,5.0,85,17,0.26666666666666666,0.13636363636363638,0.2222222222222222,0.2222222222222222,0.8598043322563171,0.9227985143661499,0.8901883959770203,0.8384172916412354,0.9120442271232605,0.8736823201179504,0.966039776802063,0.8640709519386292,0.9122146368026733,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.3333333333333333,0.25,0.2,1.0,0.6666666666666666,0.5,0.4,0.33333333333333337,1.0,1.0,1.0,1.0,1.0
0.5,1,0.6309297535714575,0.0,0.05105946623494324,0.053242931498008406,1.0,10.5,189,18,0.14545454545454545,0.11042944785276074,0.14545454545454545,0.1090909090909091,0.7993983626365662,0.8886595964431763,0.8416690230369568,0.8012537956237793,0.8678973913192749,0.8332451581954956,0.9294861555099487,0.9306524395942688,0.9300689101219177,0.0,1.0,1.0,1.0,1.0,0.0,0.5,0.3333333333333333,0.25,0.2,0.0,0.6666666666666666,0.5,0.4,0.33333333333333337,0.0,0.5,0.5,0.5,0.5
0.0,0,0.0,0.0,0.05980107027395768,0.06981482380232044,1.0,5.529411764705882,94,17,0.20202020202020202,0.10309278350515462,0.18181818181818185,0.18181818181818185,0.8259124755859375,0.9025522470474243,0.8625332713127136,0.8246176838874817,0.8656629323959351,0.844641923904419,0.9810483455657959,0.9345005750656128,0.9572089314460754,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0,0.0,0.0,0.0,0.013530711185069539,1.0,11.384615384615385,296,26,0.07719298245614037,0.02120141342756184,0.06315789473684211,0.06315789473684211,0.7885209918022156,0.8582884669303894,0.8219268918037415,0.8090227246284485,0.8761800527572632,0.8412631750106812,0.902539849281311,0.8668484687805176,0.884334146976471,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,1,1.0,1.0,0.07615710086645162,0.08168432708210692,1.0,7.833333333333333,47,6,0.23255813953488372,0.1951219512195122,0.23255813953488372,0.23255813953488372,0.7817175388336182,0.9123817682266235,0.8420106768608093,0.795600175857544,0.8336374759674072,0.8141747713088989,0.9370141923427582,0.8965330719947815,0.9163256883621216,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.3333333333333333,0.25,0.2,1.0,0.6666666666666666,0.5,0.4,0.33333333333333337,1.0,1.0,1.0,1.0,1.0
