RET_RR,RET_CG,RET_DCG,RET_NDCG,A_BL_BL,A_BL_PR,A_BL_BREV,A_BL_LR,A_BL_LEN,A_BL_REF_LEN,A_RG1,A_RG2,A_RGL,A_RGL_SUM,A_BERT_RAG_PR,A_BERT_RAG_RC,A_BERT_RAG_F1,A_BERT_PR,A_BERT_RC,A_BERT_F1,A_AR_PR,A_AR_RC,A_AR_F1,RET_RC_1,RET_RC_2,RET_RC_3,RET_RC_4,RET_RC_5,RET_RC_6,RET_RC_7,RET_RC_8,RET_RC_9,RET_RC_10,RET_PR_1,RET_PR_2,RET_PR_3,RET_PR_4,RET_PR_5,RET_PR_6,RET_PR_7,RET_PR_8,RET_PR_9,RET_PR_10,RET_F1_1,RET_F1_2,RET_F1_3,RET_F1_4,RET_F1_5,RET_F1_6,RET_F1_7,RET_F1_8,RET_F1_9,RET_F1_10,RET_AP_1,RET_AP_2,RET_AP_3,RET_AP_4,RET_AP_5,RET_AP_6,RET_AP_7,RET_AP_8,RET_AP_9,RET_AP_10
0.0,0,0.0,0.0,0.03169168188933667,0.04183824286491616,1.0,9.473684210526315,180,19,0.16393442622950818,0.07734806629834254,0.1092896174863388,0.16393442622950818,0.8115001916885376,0.9066152572631836,0.8564249277114868,0.8370594382286072,0.8882632255554199,0.8619015216827393,0.9320126175880432,0.9245519936084747,0.9282498061656952,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.125,1,0.31546487678572877,0.0,0.0,0.005474452554744526,1.0,45.666666666666664,137,3,0.031496062992125984,0.016,0.031496062992125984,0.031496062992125984,0.789555549621582,0.9020879864692688,0.8420788049697876,0.7967987060546875,0.9066866040229797,0.848198413848877,0.9765549898147583,0.9134949445724487,0.9439333081245422,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.125,0.1111111111111111,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2222222222222222,0.19999999999999998,0.18181818181818182,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.125,0.125,0.125
1.0,1,1.0,1.0,0.043038323310187414,0.044278745377351755,1.0,14.166666666666666,340,24,0.11875000000000001,0.0880503144654088,0.10625,0.1125,0.8013172149658203,0.9112679958343506,0.8527630567550659,0.8146131038665771,0.9181214570999146,0.8632756471633911,0.9295558333396912,0.9146683216094971,0.9217461049556732,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.3333333333333333,0.25,0.2,0.16666666666666666,0.14285714285714285,0.125,0.1111111111111111,0.1,1.0,0.6666666666666666,0.5,0.4,0.33333333333333337,0.2857142857142857,0.25,0.2222222222222222,0.19999999999999998,0.18181818181818182,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
0.0,0,0.0,0.0,0.07637220463250013,0.0982633117545855,1.0,3.272727272727273,72,22,0.3146067415730337,0.16091954022988503,0.20224719101123598,0.20224719101123598,0.8512606620788574,0.9014279842376709,0.8756263852119446,0.828646183013916,0.8672866821289062,0.8475262522697449,0.9090991616249084,0.871205061674118,0.8897486329078674,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,1,1.0,1.0,0.0,0.007142857142857143,1.0,17.5,35,2,0.0,0.0,0.0,0.0,0.789426326751709,0.9138026237487793,0.8470733165740967,0.7864463329315186,0.9229646325111389,0.8492541313171387,0.8208271265029907,0.8595618009567261,0.8397480249404907,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.3333333333333333,0.25,0.2,0.16666666666666666,0.14285714285714285,0.125,0.1111111111111111,0.1,1.0,0.6666666666666666,0.5,0.4,0.33333333333333337,0.2857142857142857,0.25,0.2222222222222222,0.19999999999999998,0.18181818181818182,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1.0,1,1.0,1.0,0.0,0.003925026452360559,1.0,34.30769230769231,446,13,0.032407407407407406,0.018604651162790697,0.032407407407407406,0.032407407407407406,0.7571141123771667,0.8619371652603149,0.8061323761940002,0.7953566312789917,0.8330439925193787,0.8137642741203308,0.9113095700740814,0.9009067416191101,0.9059904515743256,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.3333333333333333,0.25,0.2,0.16666666666666666,0.14285714285714285,0.125,0.1111111111111111,0.1,1.0,0.6666666666666666,0.5,0.4,0.33333333333333337,0.2857142857142857,0.25,0.2222222222222222,0.19999999999999998,0.18181818181818182,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
0.0,0,0.0,0.0,0.0,0.0029239766081871343,1.0,34.2,171,5,0.02564102564102564,0.0,0.02564102564102564,0.02564102564102564,0.7564109563827515,0.8533939123153687,0.8019810914993286,0.8088251352310181,0.8714889883995056,0.8389886617660522,0.8933928906917572,0.888235330581665,0.8908002078533173,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,1,1.0,1.0,0.0776484503062067,0.08197724988431146,1.0,6.976744186046512,300,43,0.21604938271604937,0.15527950310559005,0.17901234567901234,0.18518518518518517,0.819017767906189,0.8960224390029907,0.8557913303375244,0.8555506467819214,0.9048320651054382,0.8795015215873718,0.8933332562446594,0.9173170328140259,0.9051653146743774,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.3333333333333333,0.25,0.2,0.16666666666666666,0.14285714285714285,0.125,0.1111111111111111,0.1,1.0,0.6666666666666666,0.5,0.4,0.33333333333333337,0.2857142857142857,0.25,0.2222222222222222,0.19999999999999998,0.18181818181818182,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1.0,1,1.0,1.0,0.0,0.0025906735751295338,1.0,96.5,193,2,0.0111731843575419,0.0,0.0111731843575419,0.0111731843575419,0.7772117853164673,0.910085916519165,0.8384169936180115,0.7987774610519409,0.925115704536438,0.8573171496391296,0.8723019957542419,0.8568979501724243,0.8645305633544922,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.3333333333333333,0.25,0.2,0.16666666666666666,0.14285714285714285,0.125,0.1111111111111111,0.1,1.0,0.6666666666666666,0.5,0.4,0.33333333333333337,0.2857142857142857,0.25,0.2222222222222222,0.19999999999999998,0.18181818181818182,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1.0,1,1.0,1.0,0.0,0.005132340633282187,1.0,35.733333333333334,536,15,0.029850746268656716,0.008565310492505352,0.021321961620469083,0.0255863539445629,0.7626718878746033,0.8752904534339905,0.8151096105575562,0.8263784646987915,0.8679485321044922,0.8466535210609436,0.9104434251785278,0.9341692626476288,0.9221489429473877,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.3333333333333333,0.25,0.2,0.16666666666666666,0.14285714285714285,0.125,0.1111111111111111,0.1,1.0,0.6666666666666666,0.5,0.4,0.33333333333333337,0.2857142857142857,0.25,0.2222222222222222,0.19999999999999998,0.18181818181818182,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
